,row_num,gene_symbol
0,15,SEMA3F
1,27,WNT16
2,28,HECW1
3,37,DBNDD1
4,38,ALS2
5,40,CFLAR
6,47,SARM1
7,49,PLXND1
8,52,FKBP4
9,53,KDM1A
10,65,ARX
11,72,DVL2
12,103,SOX8
13,110,ITGA3
14,124,ABCC8
15,133,CX3CL1
16,136,TNFRSF12A
17,142,ETV1
18,148,FARP2
19,149,USH1C
20,153,IFRD1
21,159,ARHGAP44
22,166,CDKL3
23,170,PROM1
24,186,PAX6
25,195,TEAD3
26,199,MYLIP
27,205,CDKL5
28,213,ADAM22
29,216,SPAG9
30,217,CELSR3
31,230,MAPK8IP2
32,240,PAX7
33,249,RANBP9
34,257,CD9
35,263,SEMA3G
36,276,FYN
37,280,LYPLA2
38,288,MKS1
39,317,SEMA3B
40,350,UFL1
41,369,STMN4
42,371,ISL1
43,378,SRCIN1
44,383,RUFY3
45,384,CNTN1
46,401,HGF
47,403,NCDN
48,409,RUNX3
49,416,NRXN3
50,426,RNF10
51,459,VIM
52,469,PRKCH
53,496,NR2E3
54,508,LRRC7
55,511,GAB2
56,514,SLC4A7
57,524,MYOC
58,527,VCL
59,532,STAP1
60,533,TIMP2
61,535,TBC1D23
62,552,HOXC8
63,563,CDH1
64,578,RTN4R
65,587,TNC
66,598,USH2A
67,610,CUL7
68,611,CTNNA1
69,614,EPHA3
70,615,HSPA5
71,619,GPM6B
72,621,PREX2
73,632,DTNBP1
74,633,XK
75,640,MAP4
76,644,HDAC9
77,677,NEDD4L
78,680,HEXB
79,691,LAMC3
80,694,MAPK9
81,702,PIK3CB
82,715,FSTL4
83,720,NNAT
84,735,SDCCAG8
85,741,SYNE2
86,755,CYFIP2
87,761,MCOLN3
88,785,PRDM1
89,796,RASGRF1
90,797,CAMK2B
91,805,DGKG
92,817,PSD
93,821,WNK1
94,839,WNT8A
95,841,NCKAP1
96,853,LTK
97,875,GPC1
98,887,DMRT3
99,890,NGFR
100,891,CDON
101,893,HIPK2
102,908,BTBD1
103,915,HMG20B
104,918,ANKS1A
105,931,NTN1
106,935,ERBB3
107,943,SPEN
108,954,PRKCQ
109,967,CTNNA2
110,972,KDM4A
111,976,NGEF
112,977,ASPM
113,987,FGFR2
114,990,EML1
115,996,ARFGEF1
116,1009,NEO1
117,1023,RHOA
118,1026,PRKCZ
119,1029,SYT1
120,1032,ROGDI
121,1035,ROCK1
122,1046,MEF2A
123,1050,ACSL4
124,1064,CYFIP1
125,1069,SIRT2
126,1071,PPP2R5B
127,1078,SDK2
128,1080,NUP133
129,1091,RORA
130,1095,PLA2G10
131,1098,NEDD4
132,1105,LRP6
133,1113,SPTB
134,1115,FGF10
135,1132,GBA2
136,1136,CNGB1
137,1144,EIF2B3
138,1145,CAMK2A
139,1147,CDC42
140,1149,EPHA8
141,1155,MAP4K4
142,1158,WDR1
143,1170,TCF3
144,1200,TRPC5
145,1203,MPP5
146,1208,MARK2
147,1220,CRMP1
148,1224,NDE1
149,1244,SMARCE1
150,1260,FRY
151,1261,PICALM
152,1263,GLI2
153,1266,NOTCH3
154,1278,NTN4
155,1284,SCARF1
156,1305,SEMA3A
157,1307,SEMA3C
158,1311,CELSR1
159,1312,WNT8B
160,1327,FRYL
161,1334,WDR62
162,1342,PAX2
163,1358,PLXNA2
164,1372,RAP1GAP
165,1381,RARB
166,1382,TOP2B
167,1390,USP33
168,1391,PAK3
169,1393,DCX
170,1411,FGFR1
171,1418,MAP2
172,1431,TULP3
173,1443,FGF20
174,1448,PCM1
175,1450,CBFA2T2
176,1458,TP73
177,1467,SLC1A3
178,1468,XRCC5
179,1484,OPHN1
180,1491,DNM2
181,1493,RIMS1
182,1500,DCT
183,1507,RAB21
184,1518,CHRNA3
185,1521,PSEN1
186,1545,MEF2C
187,1553,LRP2
188,1566,ATP8B1
189,1568,SMARCD3
190,1581,EPB41L3
191,1591,SEMA5B
192,1592,GSK3B
193,1605,ULK2
194,1619,EPYC
195,1638,REST
196,1640,SSH1
197,1641,GSTP1
198,1651,NCOA1
199,1655,RAB10
200,1683,RRN3
201,1684,CTTN
202,1685,WNT11
203,1730,MTMR2
204,1736,SRRT
205,1737,BAX
206,1748,MT3
207,1750,GNAO1
208,1763,DNM1L
209,1768,AURKA
210,1785,DNMT3B
211,1817,XRN2
212,1835,LHX5
213,1850,NOS1
214,1872,ARHGAP4
215,1895,MUL1
216,1914,EFNB1
217,1922,DLL3
218,1933,NRCAM
219,1934,LAMB1
220,1983,RPGRIP1
221,1991,SEMA6A
222,2000,EZR
223,2008,DPYSL2
224,2009,TGFB2
225,2021,HDAC6
226,2048,PDE6C
227,2050,SEMA4G
228,2058,CRTAC1
229,2088,JAK2
230,2090,ABL1
231,2101,NRP1
232,2116,STX1B
233,2121,EFNA2
234,2186,MAPK1
235,2207,LGALS1
236,2213,TRIOBP
237,2221,MICALL1
238,2223,SOX10
239,2226,PICK1
240,2243,XBP1
241,2246,FBXO7
242,2253,SUN2
243,2266,NEFH
244,2275,TSPO
245,2284,RBFOX2
246,2303,IFT27
247,2330,HDAC10
248,2340,PRMT5
249,2374,ALKBH1
250,2375,SNW1
251,2380,SIX4
252,2385,HIF1A
253,2391,SLC8A3
254,2392,DICER1
255,2404,RPS6KA5
256,2411,TRIP11
257,2419,CPNE6
258,2436,NFATC4
259,2441,VSX1
260,2463,SALL4
261,2464,ADNP
262,2466,DOK5
263,2468,BMP7
264,2473,CTSZ
265,2494,PTK6
266,2538,JAG1
267,2539,CDK5RAP1
268,2571,ADNP2
269,2574,VAPA
270,2591,MIB1
271,2626,MCF2
272,2639,SMARCA1
273,2650,FMR1
274,2654,PQBP1
275,2671,CDK16
276,2710,STK24
277,2732,CLN5
278,2740,MAPK3
279,2753,CBLN1
280,2771,NDRG4
281,2784,FA2H
282,2788,AXIN1
283,2816,METRN
284,2817,FBXO31
285,2825,EEF2K
286,2843,SALL1
287,2858,SYT17
288,2870,CSK
289,2871,HERC1
290,2878,RAB11A
291,2903,SPG11
292,2909,MYEF2
293,2917,RP1
294,2919,FZD3
295,2922,EYA1
296,2929,SFRP1
297,2945,NDRG1
298,2948,STMN2
299,2976,NEFM
300,2978,NEFL
301,2979,ARHGEF10
302,3015,ERCC2
303,3022,SF3A2
304,3073,ANKRD27
305,3082,AKT2
306,3084,PRX
307,3086,NUMBL
308,3105,TGFB1
309,3123,CRX
310,3128,NAPA
311,3132,PTPRS
312,3135,MEGF8
313,3181,RAB3A
314,3197,MAG
315,3207,SCN1B
316,3224,CDK6
317,3241,DLX5
318,3244,PTN
319,3250,OGDH
320,3261,WNT2
321,3277,EVX1
322,3282,GRB10
323,3284,COBL
324,3299,NPTX2
325,3308,PTPRZ1
326,3310,WASL
327,3339,TMEM106B
328,3340,EZH2
329,3357,GLI3
330,3365,RHEB
331,3377,LIMK1
332,3380,LHX2
333,3391,TGFBR1
334,3394,OGN
335,3396,ECM2
336,3398,LHX6
337,3413,KDM4C
338,3415,KANK1
339,3417,NCS1
340,3426,LHX3
341,3432,RAPGEF1
342,3435,SETX
343,3436,SH3GL2
344,3444,DVL1
345,3448,GATA3
346,3455,CXCL12
347,3464,MAPK8
348,3470,UNC5B
349,3471,CDH23
350,3475,PPP3CB
351,3477,BMPR1A
352,3487,FGF8
353,3490,PITX3
354,3496,SUFU
355,3510,DKK1
356,3529,LGI1
357,3553,WNT3
358,3554,ASPA
359,3570,CDK5RAP3
360,3590,SLC6A4
361,3612,CCL2
362,3621,NAGLU
363,3625,CNTNAP1
364,3629,PPP1R9B
365,3636,RND2
366,3638,HDAC5
367,3650,EFNB3
368,3652,YWHAE
369,3654,MMD
370,3662,SLC9A3R1
371,3668,IFT20
372,3671,PMP22
373,3673,UNC119
374,3678,PHOX2B
375,3697,AREG
376,3700,MAPK10
377,3707,GAB1
378,3737,RAPGEF2
379,3773,EHD1
380,3788,PRPF19
381,3794,FOLR1
382,3799,APOA5
383,3800,APOA4
384,3811,DDX6
385,3837,SOX6
386,3864,CAPRIN2
387,3867,SLC11A2
388,3892,WNT5B
389,3894,TRPV4
390,3910,KCNA1
391,3927,RASAL1
392,3930,EIF2B1
393,3937,FZD10
394,3970,C12orf57
395,3988,RAB35
396,4000,TDP2
397,4026,UST
398,4031,OPRM1
399,4033,TULP1
400,4047,MDGA1
401,4068,PRDM13
402,4077,WASF1
403,4091,NR2E1
404,4092,SNX3
405,4096,PEX7
406,4098,FIG4
407,4129,PTK7
408,4130,SRF
409,4137,TMEM30A
410,4141,VEGFA
411,4149,CLIC5
412,4161,MAN2A1
413,4162,SEMA5A
414,4201,ARSB
415,4236,PCDH12
416,4255,DPYSL3
417,4267,DBN1
418,4280,BCL6
419,4303,BCHE
420,4307,WNT5A
421,4312,HES1
422,4315,ECT2
423,4316,GNAT1
424,4326,FXR1
425,4342,PLXNA1
426,4361,GORASP1
427,4380,EIF4G1
428,4387,DGUOK
429,4392,TTL
430,4420,EIF2B4
431,4444,TLX2
432,4445,SPTBN1
433,4447,RTN4
434,4448,HTRA2
435,4450,DOK1
436,4454,CCDC88A
437,4463,FN1
438,4474,EFHD1
439,4498,WNT6
440,4514,STK25
441,4517,ID2
442,4533,DLX2
443,4540,SOS1
444,4553,TRAK2
445,4563,VAX2
446,4565,NFE2L2
447,4569,EPHA4
448,4574,PRRX1
449,4577,MARK1
450,4578,TNR
451,4598,CHD5
452,4613,RAP1A
453,4614,HDAC1
454,4625,ARHGEF2
455,4628,DOCK7
456,4654,RPE65
457,4688,TBCE
458,4693,MTR
459,4728,KIF17
460,4737,ID3
461,4747,ARTN
462,4788,STMN1
463,4796,PROX1
464,4816,STK11
465,4821,APOA1
466,4829,CAMSAP2
467,4835,NRP2
468,4836,CREB1
469,4837,KLF7
470,4852,CNR1
471,4864,MYB
472,4866,SGK1
473,4880,FOXO3
474,4884,TGIF2
475,4886,OLFM3
476,4889,SPP1
477,4914,SATB2
478,4927,TRIM67
479,4940,TRIM32
480,4953,NR4A3
481,4961,ONECUT2
482,4995,EIF2B2
483,5003,DNMT3A
484,5014,BCL11A
485,5041,KCNIP2
486,5053,HOXB3
487,5149,SOCS2
488,5154,CLU
489,5157,PTK2B
490,5167,TNFRSF8
491,5216,LHX4
492,5246,CCR2
493,5252,SLITRK3
494,5253,PIK3CA
495,5267,CXCR4
496,5288,FMOD
497,5333,NPY
498,5336,INHBA
499,5344,TWIST1
500,5365,NEUROG3
501,5372,EGR2
502,5379,CIT
503,5386,CDKN2C
504,5414,ATF1
505,5416,NEUROD4
506,5418,NCKAP1L
507,5427,LRP1
508,5448,PLP1
509,5453,NRK
510,5491,OBSL1
511,5510,SDC4
512,5512,PIGT
513,5517,PARD6B
514,5520,PLCG1
515,5581,USP9X
516,5586,PACSIN1
517,5630,SOX4
518,5632,CPNE5
519,5645,RUNX2
520,5647,GCM2
521,5661,WNT1
522,5670,DOK4
523,5675,RAP2A
524,5678,EFNB2
525,5691,BMP4
526,5696,SOX9
527,5713,BARHL1
528,5716,MBOAT7
529,5736,PSPN
530,5742,THOC2
531,5743,MED1
532,5758,VASP
533,5766,FOXA2
534,5776,NKX2-2
535,5787,BMP2
536,5789,FLRT3
537,5792,GFRA4
538,5820,GDF5
539,5821,MMP24
540,5823,ID1
541,5854,LRFN3
542,5874,PRMT1
543,5880,FLRT1
544,5889,BECN1
545,5908,SIX1
546,5921,OMG
547,5935,ZC4H2
548,5941,OMD
549,5946,BCL11B
550,5972,PIN1
551,5997,MACF1
552,6012,RNF6
553,6018,GNGT1
554,6049,YWHAH
555,6056,ADORA2A
556,6071,RAC2
557,6072,LIF
558,6080,RNF112
559,6101,SMO
560,6110,HOXD1
561,6111,HOXD3
562,6114,CHN1
563,6120,HOXD9
564,6121,HOXD10
565,6131,EIF2AK4
566,6136,ELL3
567,6140,DLL4
568,6141,ALDH1A2
569,6146,CHAC1
570,6180,FXR2
571,6199,KLK8
572,6209,FOXA1
573,6214,NRL
574,6230,FGF13
575,6274,LDLR
576,6285,APOE
577,6326,EPO
578,6332,MAP1S
579,6348,OLFM1
580,6349,CAMSAP1
581,6361,ATXN10
582,6368,MNX1
583,6378,PRDM12
584,6416,PLXNA3
585,6425,UBE4B
586,6426,CASZ1
587,6460,C1QL1
588,6461,GFAP
589,6485,PPT1
590,6509,KIF3A
591,6542,NPHP4
592,6543,MAP1B
593,6554,RARA
594,6576,LLGL1
595,6578,LIN28A
596,6603,LHX1
597,6610,PPARG
598,6631,PER2
599,6638,RAP1GAP2
600,6643,SERPINF1
601,6675,DLG4
602,6679,MATN2
603,6694,SNAP25
604,6695,BTBD3
605,6700,PTPRA
606,6741,SYT4
607,6749,ATP8A2
608,6759,WASF3
609,6776,DCLK1
610,6782,TRPC4
611,6783,POSTN
612,6802,EPHB2
613,6804,BTBD2
614,6850,KRAS
615,6853,SPINK5
616,6860,ARNTL
617,6879,NUMB
618,6888,ELP3
619,6900,CAMK1
620,6906,CNTN6
621,6907,CHL1
622,6912,TRPM1
623,6913,GNAT2
624,6917,TSPAN2
625,6928,WNT2B
626,6937,NGF
627,6952,MYCN
628,6959,IL6ST
629,6962,NAV1
630,6965,CRB1
631,6986,SOX5
632,7000,SOX3
633,7028,DAGLA
634,7062,WDR36
635,7068,ANXA1
636,7071,AGTPBP1
637,7091,DTX1
638,7121,EPHA7
639,7135,CAPRIN1
640,7140,AVIL
641,7150,BLOC1S1
642,7159,FAIM2
643,7176,AHI1
644,7177,HEY2
645,7187,SEMA4F
646,7194,EMX1
647,7199,MDM2
648,7210,AGT
649,7239,DOCK10
650,7243,ITM2C
651,7245,SERPINE2
652,7247,WNT10A
653,7273,PLXNC1
654,7281,NEK3
655,7302,EDNRB
656,7314,RAC1
657,7317,IL6
658,7323,DDX56
659,7327,DBNL
660,7331,MMD2
661,7335,NKX2-8
662,7336,NKX2-1
663,7349,SRSF1
664,7366,TBR1
665,7374,SKIL
666,7394,BIN1
